20230731	18:24:51	bef9ed36-9b6b-41ed-b2d2-a9e54273b89b	GET	undefined	/api/user/users/64c7b946966b9d6a3ed38547
20230731	18:25:40	a5e18d1a-7ae3-421e-b169-8493f9f5db79	GET	undefined	/api/user/users/64c7b946966b9d6a3ed38547
20230731	18:25:57	64687f5d-2761-4e7d-b0c7-b20f6e646931	GET	undefined	/api/user/users/64c7b946966b9d6a3ed3854a
20230731	18:26:06	0965ab1a-9a5c-42a3-b4e5-869e0bf4dd67	GET	undefined	/api/user/users/64c7b946966b9d6a3ed38543
20230731	18:26:43	1a54596f-a294-4c1c-b35f-da9fb680e7c7	GET	undefined	/api/user/users/64c7b946966b9d6a3ed38543
20230731	18:27:36	a88aab78-1891-47e8-b99e-b3f59f6ae4ce	GET	undefined	/api/user/users/64c7b946966b9d6a3ed38543
20230731	18:27:47	d9c10e03-fbdb-48b6-96fc-a5a719221b45	GET	undefined	/api/user/users/64c7b946966b9d6a3ed3854a
20230731	18:29:19	09fa506f-2e1d-48fe-a92d-8d66a7eb5705	GET	undefined	/api/user/users/userInfo
20230731	18:30:01	cbc88b32-11a1-43a7-9ea5-74c6811b7612	GET	undefined	/api/user/users/Info
20230731	18:30:54	901e4e87-0281-43a5-86f6-c75a0b028d67	GET	undefined	/api/user/users/Info
20230731	18:31:50	5841cc7b-78bf-4726-9e43-5769ab779c59	GET	undefined	/api/user/users/Info
20230731	18:32:00	7ec04053-2a7f-4af2-b978-b5c7ababebf9	GET	undefined	/api/user/users/Info
20230731	18:32:43	e1d68d5e-b43d-423e-a650-e534f6f088f6	GET	undefined	/api/user/users/Info
20230731	18:32:57	322cbb8b-3eaa-44ac-912f-3451b011f253	GET	undefined	/api/user/users/Info
20230731	18:34:34	92a990c0-d61c-4951-8a4e-a0e6e15ff178	GET	undefined	/api/serie/series
20230731	18:34:45	1d0bf314-ab25-43ac-b3b8-3d62f4a1d1a8	GET	undefined	/api/serie/series
20230731	18:36:00	4efbb2d9-ac16-4822-b562-1a44f34198a6	GET	undefined	/api/serie/series
20230731	18:37:06	eb0251c2-778f-4f94-ae0c-98be9a09cd99	GET	undefined	/api/serie/series
20230731	18:40:53	363a79e7-b45f-42f7-b0b5-14057effd774	GET	undefined	/api/serie/series
20230731	18:41:10	1fc56c0a-9199-484f-a637-82d148f78ea3	GET	undefined	/api/serie/series
20230731	18:41:15	1447f029-73f9-405e-9cf6-201d525251bc	GET	undefined	/api/serie/series
20230731	18:42:30	d0916c58-29bf-437b-89a8-570907d76dcc	GET	undefined	/api/serie/series/
20230731	18:44:25	f9e6776d-620f-4d5e-99f8-9a02b855a82e	GET	undefined	/api/serie/series/
20230731	18:44:40	297d8e44-b181-4e25-a4e6-4d9164e09413	GET	undefined	/api/serie/series/1
20230731	18:46:08	ce35507c-2697-448a-9567-d5c267f57475	GET	undefined	/api/serie/series
20230731	18:46:16	cc834883-fbee-4aeb-a32a-185acfdb5041	GET	undefined	/api/serie/series/1
